data,tags
"This was not an encouraging opening for a conversation. Alice replied,rather shyly, ‘I--I hardly know, sir, just at present--at least I knowwho I WAS when I got up this morning, but I think I must have beenchanged several times since then.’",Alice's Adventures in Wonderland by Lewis Carroll
“Nay%2c” cried Bingley%2c “this is too much%2c to remember at night all thefoolish things that were said in the morning. And yet%2c upon my honour%2cI believe what I said of myself to be true%2c and I believe it at thismoment. At least%2c therefore%2c I did not assume the character of needlessprecipitance merely to show off before the ladies.”,Pride and Prejudice by Jane Austen
"  ""Haste, happy nymph! for thee thy Paris calls,  Safe from the fight, in yonder lofty walls,  Fair as a god; with odours round him spread,  He lies, and waits thee on the well-known bed;  Not like a warrior parted from the foe,  But some gay dancer in the public show.""",The Iliad by Homer
"When the second act was over, there came a storm of hisses, and LordHenry got up from his chair and put on his coat.  ""She is quitebeautiful, Dorian,"" he said, ""but she can't act.  Let us go.""",The Picture of Dorian Gray by Oscar Wilde
"  These words scarce spoke, with generous ardour press'd,  His manly limbs in azure arms he dress'd.  That day, Atrides! a superior hand  Had stretch'd thee breathless on the hostile strand;  But all at once, thy fury to compose,  The kings of Greece, an awful band, arose;  Even he their chief, great Agamemnon, press'd  Thy daring hand, and this advice address'd:  ""Whither, O Menelaus! wouldst thou run,  And tempt a fate which prudence bids thee shun?  Grieved though thou art, forbear the rash design;  Great Hectors arm is mightier far than thine:  Even fierce Achilles learn'd its force to fear,  And trembling met this dreadful son of war.  Sit thou secure, amidst thy social band;  Greece in our cause shall arm some powerful hand.  The mightiest warrior of the Achaian name,  Though bold and burning with desire of fame,  Content the doubtful honour might forego,  So great the danger, and so brave the foe.""",The Iliad by Homer
"‘I can’t explain MYSELF, I’m afraid, sir’ said Alice, ‘because I’m notmyself, you see.’",Alice's Adventures in Wonderland by Lewis Carroll
"—They say a man who does it is a coward, Mr Dedalus said.",Ulysses by James Joyce
"That afternoon of the inquest. The redlabelled bottle on the table. Theroom in the hotel with hunting pictures. Stuffy it was. Sunlight throughthe slats of the Venetian blind. The coroner’s sunlit ears, big andhairy. Boots giving evidence. Thought he was asleep first. Then saw likeyellow streaks on his face. Had slipped down to the foot of the bed.Verdict: overdose. Death by misadventure. The letter. For my sonLeopold.",Ulysses by James Joyce
"‘That would be grand, certainly,’ said Alice thoughtfully: ‘but then--Ishouldn’t be hungry for it, you know.’",Alice's Adventures in Wonderland by Lewis Carroll
“You appear to me%2c Mr. Darcy%2c to allow nothing for the influence offriendship and affection. A regard for the requester would often makeone readily yield to a request%2c without waiting for arguments to reasonone into it. I am not particularly speaking of such a case as you havesupposed about Mr. Bingley. We may as well wait%2c perhaps%2c till thecircumstance occurs before we discuss the discretion of his behaviourthereupon. But in general and ordinary cases between friend and friend%2cwhere one of them is desired by the other to change a resolution of novery great moment%2c should you think ill of that person for complyingwith the desire%2c without waiting to be argued into it?”,Pride and Prejudice by Jane Austen
"—I want to see about that French horse that’s running today, BantamLyons said. Where the bugger is it?",Ulysses by James Joyce
"‘I never heard of “Uglification,”’ Alice ventured to say. ‘What is it?’",Alice's Adventures in Wonderland by Lewis Carroll
"His eye fell on the yellow book that Lord Henry had sent him.  What wasit, he wondered.  He went towards the little, pearl-coloured octagonalstand that had always looked to him like the work of some strangeEgyptian bees that wrought in silver, and taking up the volume, flunghimself into an arm-chair and began to turn over the leaves.  After afew minutes he became absorbed.  It was the strangest book that he hadever read.  It seemed to him that in exquisite raiment, and to thedelicate sound of flutes, the sins of the world were passing in dumbshow before him.  Things that he had dimly dreamed of were suddenlymade real to him.  Things of which he had never dreamed were graduallyrevealed.",The Picture of Dorian Gray by Oscar Wilde
Pause. J. J. O’Molloy took out his cigarettecase.,Ulysses by James Joyce
Father Coffey. I knew his name was like a coffin. Dominenamine. Bullyabout the muzzle he looks. Bosses the show. Muscular christian. Woebetide anyone that looks crooked at him: priest. Thou art Peter. Burstsideways like a sheep in clover Dedalus says he will. With a belly onhim like a poisoned pup. Most amusing expressions that man finds. Hhhn:burst sideways.,Ulysses by James Joyce
Professor MacHugh nodded.,Ulysses by James Joyce
"  She spoke, and Helen's secret soul was moved;  She scorn'd the champion, but the man she loved.  Fair Venus' neck, her eyes that sparkled fire,  And breast, reveal'd the queen of soft desire.(123)  Struck with her presence, straight the lively red  Forsook her cheek; and trembling, thus she said:  ""Then is it still thy pleasure to deceive?  And woman's frailty always to believe!  Say, to new nations must I cross the main,  Or carry wars to some soft Asian plain?  For whom must Helen break her second vow?  What other Paris is thy darling now?  Left to Atrides, (victor in the strife,)  An odious conquest and a captive wife,  Hence let me sail; and if thy Paris bear  My absence ill, let Venus ease his care.  A handmaid goddess at his side to wait,  Renounce the glories of thy heavenly state,  Be fix'd for ever to the Trojan shore,  His spouse, or slave; and mount the skies no more.  For me, to lawless love no longer led,  I scorn the coward, and detest his bed;  Else should I merit everlasting shame,  And keen reproach, from every Phrygian dame:  Ill suits it now the joys of love to know,  Too deep my anguish, and too wild my woe.""",The Iliad by Homer
"        Although I joy in thee,    I have no joy of this contract to-night:    It is too rash, too unadvised, too sudden;    Too like the lightning, which doth cease to be    Ere one can say, ""It lightens.""  Sweet, good-night!    This bud of love by summer's ripening breath    May prove a beauteous flower when next we meet--",The Picture of Dorian Gray by Oscar Wilde
Mr Kernan assured him.,Ulysses by James Joyce
"There was a horrible fascination in them all.  He saw them at night,and they troubled his imagination in the day.  The Renaissance knew ofstrange manners of poisoning--poisoning by a helmet and a lightedtorch, by an embroidered glove and a jewelled fan, by a gilded pomanderand by an amber chain.  Dorian Gray had been poisoned by a book.  Therewere moments when he looked on evil simply as a mode through which hecould realize his conception of the beautiful.",The Picture of Dorian Gray by Oscar Wilde
"‘I’m very sorry you’ve been annoyed,’ said Alice, who was beginning tosee its meaning.",Alice's Adventures in Wonderland by Lewis Carroll
"‘Exactly so,’ said Alice.",Alice's Adventures in Wonderland by Lewis Carroll
"Harry, Harry, it is terrible! cried the lad.",The Picture of Dorian Gray by Oscar Wilde
"  Seized with affright the boldest foes appear;  E'en godlike Hector seems himself to fear;  Slow he gave way, the rest tumultuous fled;  The Greeks with shouts press on, and spoil the dead:  But Phoebus now from Ilion's towering height  Shines forth reveal'd, and animates the fight.  ""Trojans, be bold, and force with force oppose;  Your foaming steeds urge headlong on the foes!  Nor are their bodies rocks, nor ribb'd with steel;  Your weapons enter, and your strokes they feel.  Have ye forgot what seem'd your dread before?  The great, the fierce Achilles fights no more.""",The Iliad by Homer
"—I met M’Coy this morning, Mr Bloom said. He said he’d try tocome.",Ulysses by James Joyce
"  She said; and, sighing, thus the god replies,  Who rolls the thunder o'er the vaulted skies:",The Iliad by Homer
"The girl smiled.  ""Dorian,"" she answered, lingering over his name withlong-drawn music in her voice, as though it were sweeter than honey tothe red petals of her mouth.  ""Dorian, you should have understood.  Butyou understand now, don't you?""",The Picture of Dorian Gray by Oscar Wilde
"‘--so long as I get SOMEWHERE,’ Alice added as an explanation.",Alice's Adventures in Wonderland by Lewis Carroll
"Callous, concentrated on evil, with stained mind, and soul hungry forrebellion, Dorian Gray hastened on, quickening his step as he went, butas he darted aside into a dim archway, that had served him often as ashort cut to the ill-famed place where he was going, he felt himselfsuddenly seized from behind, and before he had time to defend himself,he was thrust back against the wall, with a brutal hand round histhroat.",The Picture of Dorian Gray by Oscar Wilde
"  Now near the Greeks the black battalions drew;  And first two leaders valiant Hector slew:  His force Anchialus and Mnesthes found,  In every art of glorious war renown'd;  In the same car the chiefs to combat ride,  And fought united, and united died.  Struck at the sight, the mighty Ajax glows  With thirst of vengeance, and assaults the foes.  His massy spear with matchless fury sent,  Through Amphius' belt and heaving belly went;  Amphius Apaesus' happy soil possess'd,  With herds abounding, and with treasure bless'd;  But fate resistless from his country led  The chief, to perish at his people's head.  Shook with his fall his brazen armour rung,  And fierce, to seize it, conquering Ajax sprung;  Around his head an iron tempest rain'd;  A wood of spears his ample shield sustain'd:  Beneath one foot the yet warm corpse he press'd,  And drew his javelin from the bleeding breast:  He could no more; the showering darts denied  To spoil his glittering arms, and plumy pride.  Now foes on foes came pouring on the fields,  With bristling lances, and compacted shields;  Till in the steely circle straiten'd round,  Forced he gives way, and sternly quits the ground.",The Iliad by Homer
"I don't wish to know anything about them.  I love scandals about otherpeople, but scandals about myself don't interest me.  They have not gotthe charm of novelty.",The Picture of Dorian Gray by Oscar Wilde
"‘It must be a very pretty dance,’ said Alice timidly.",Alice's Adventures in Wonderland by Lewis Carroll
“Then you would drink a great deal more than you ought%2c” said Mrs.Bennet; “and if I were to see you at it%2c I should take away your bottledirectly.”,Pride and Prejudice by Jane Austen
"Just as she said this, she noticed that one of the trees had a doorleading right into it. ‘That’s very curious!’ she thought. ‘Buteverything’s curious today. I think I may as well go in at once.’ And inshe went.",Alice's Adventures in Wonderland by Lewis Carroll
"No, no, he cried petulantly.  ""Thank you, Leaf.  That will do.""",The Picture of Dorian Gray by Oscar Wilde
"Always glad to have a rest, Mr. Gray, answered the frame-maker, whowas still gasping for breath.  ""Where shall we put it, sir?""",The Picture of Dorian Gray by Oscar Wilde
"‘I wish I hadn’t cried so much!’ said Alice, as she swam about, tryingto find her way out. ‘I shall be punished for it now, I suppose, bybeing drowned in my own tears! That WILL be a queer thing, to be sure!However, everything is queer to-day.’",Alice's Adventures in Wonderland by Lewis Carroll
"You are not listening to a word I am saying, Jim, cried Sibyl, ""and Iam making the most delightful plans for your future.  Do say something.""",The Picture of Dorian Gray by Oscar Wilde
"  To whom the progeny of Jove replies:  ""I left, for this, the council of the skies:  But who shall bid conflicting hosts forbear,  What art shall calm the furious sons of war?""  To her the god: ""Great Hector's soul incite  To dare the boldest Greek to single fight,  Till Greece, provoked, from all her numbers show  A warrior worthy to be Hector's foe.""",The Iliad by Homer
"Let us go, Basil, said Lord Henry with a strange tenderness in hisvoice, and the two young men passed out together.",The Picture of Dorian Gray by Oscar Wilde
"All the time they were playing the Queen never left off quarrelling withthe other players, and shouting ‘Off with his head!’ or ‘Off with herhead!’ Those whom she sentenced were taken into custody by the soldiers,who of course had to leave off being arches to do this, so that bythe end of half an hour or so there were no arches left, and all theplayers, except the King, the Queen, and Alice, were in custody andunder sentence of execution.",Alice's Adventures in Wonderland by Lewis Carroll
"Yet these whispered scandals only increased in the eyes of many hisstrange and dangerous charm.  His great wealth was a certain element ofsecurity.  Society--civilized society, at least--is never very ready tobelieve anything to the detriment of those who are both rich andfascinating.  It feels instinctively that manners are of moreimportance than morals, and, in its opinion, the highest respectabilityis of much less value than the possession of a good _chef_.  And, afterall, it is a very poor consolation to be told that the man who hasgiven one a bad dinner, or poor wine, is irreproachable in his privatelife.  Even the cardinal virtues cannot atone for half-cold _entrees_, asLord Henry remarked once, in a discussion on the subject, and there ispossibly a good deal to be said for his view.  For the canons of goodsociety are, or should be, the same as the canons of art.  Form isabsolutely essential to it.  It should have the dignity of a ceremony,as well as its unreality, and should combine the insincere character ofa romantic play with the wit and beauty that make such plays delightfulto us.  Is insincerity such a terrible thing?  I think not.  It ismerely a method by which we can multiply our personalities.",The Picture of Dorian Gray by Oscar Wilde
"The Duchess took her choice, and was gone in a moment.",Alice's Adventures in Wonderland by Lewis Carroll
"This was such a new idea to Alice, that she was quite silent for aminute or two, which gave the Pigeon the opportunity of adding, ‘You’relooking for eggs, I know THAT well enough; and what does it matter to mewhether you’re a little girl or a serpent?’",Alice's Adventures in Wonderland by Lewis Carroll
"  ""Too late, O friend! my rashness I deplore;  These shafts, once fatal, carry death no more.  Tydeus' and Atreus' sons their points have found,  And undissembled gore pursued the wound.  In vain they bleed: this unavailing bow  Serves, not to slaughter, but provoke the foe.  In evil hour these bended horns I strung,  And seized the quiver where it idly hung.  Cursed be the fate that sent me to the field  Without a warrior's arms, the spear and shield!  If e'er with life I quit the Trojan plain,  If e'er I see my spouse and sire again,  This bow, unfaithful to my glorious aims,  Broke by my hand, shall feed the blazing flames.""",The Iliad by Homer
You told me you had destroyed it.,The Picture of Dorian Gray by Oscar Wilde
"‘Sure, it does, yer honour: but it’s an arm for all that.’",Alice's Adventures in Wonderland by Lewis Carroll
"The worship of the senses has often, and with much justice, beendecried, men feeling a natural instinct of terror about passions andsensations that seem stronger than themselves, and that they areconscious of sharing with the less highly organized forms of existence.But it appeared to Dorian Gray that the true nature of the senses hadnever been understood, and that they had remained savage and animalmerely because the world had sought to starve them into submission orto kill them by pain, instead of aiming at making them elements of anew spirituality, of which a fine instinct for beauty was to be thedominant characteristic.  As he looked back upon man moving throughhistory, he was haunted by a feeling of loss.  So much had beensurrendered! and to such little purpose!  There had been mad wilfulrejections, monstrous forms of self-torture and self-denial, whoseorigin was fear and whose result was a degradation infinitely moreterrible than that fancied degradation from which, in their ignorance,they had sought to escape; Nature, in her wonderful irony, driving outthe anchorite to feed with the wild animals of the desert and giving tothe hermit the beasts of the field as his companions.",The Picture of Dorian Gray by Oscar Wilde
“Yes. It has often led him to be liberal and generous%2c to give his moneyfreely%2c to display hospitality%2c to assist his tenants%2c and relieve thepoor. Family pride%2c and _filial_ pride--for he is very proud of whathis father was--have done this. Not to appear to disgrace his family%2cto degenerate from the popular qualities%2c or lose the influence of thePemberley House%2c is a powerful motive. He has also _brotherly_ pride%2cwhich%2c with _some_ brotherly affection%2c makes him a very kind andcareful guardian of his sister%2c and you will hear him generally cried upas the most attentive and best of brothers.”,Pride and Prejudice by Jane Austen
Nightmare from which you will never awake.,Ulysses by James Joyce
"  Troy yet found grace before the Olympian sire,  He arm'd their hands, and fill'd their breasts with fire.  The Greeks repulsed, retreat behind their wall,  Or in the trench on heaps confusedly fall.  First of the foe, great Hector march'd along,  With terror clothed, and more than mortal strong.  As the bold hound, that gives the lion chase,  With beating bosom, and with eager pace,  Hangs on his haunch, or fastens on his heels,  Guards as he turns, and circles as he wheels;  Thus oft the Grecians turn'd, but still they flew;  Thus following, Hector still the hindmost slew.  When flying they had pass'd the trench profound,  And many a chief lay gasping on the ground;  Before the ships a desperate stand they made,  And fired the troops, and called the gods to aid.  Fierce on his rattling chariot Hector came:  His eyes like Gorgon shot a sanguine flame  That wither'd all their host: like Mars he stood:  Dire as the monster, dreadful as the god!  Their strong distress the wife of Jove survey'd;  Then pensive thus, to war's triumphant maid:",The Iliad by Homer
"  ""O daughter of that god, whose arm can wield  The avenging bolt, and shake the sable shield!  Now, in this moment of her last despair,  Shall wretched Greece no more confess our care,  Condemn'd to suffer the full force of fate,  And drain the dregs of heaven's relentless hate?  Gods! shall one raging hand thus level all?  What numbers fell! what numbers yet shall fall!  What power divine shall Hector's wrath assuage?  Still swells the slaughter, and still grows the rage!""",The Iliad by Homer
"It was some foul parody, some infamous ignoble satire.  He had neverdone that.  Still, it was his own picture.  He knew it, and he felt asif his blood had changed in a moment from fire to sluggish ice.  Hisown picture!  What did it mean?  Why had it altered?  He turned andlooked at Dorian Gray with the eyes of a sick man.  His mouth twitched,and his parched tongue seemed unable to articulate.  He passed his handacross his forehead.  It was dank with clammy sweat.",The Picture of Dorian Gray by Oscar Wilde
No more pain. Wake no more. Nobody owns.,Ulysses by James Joyce
"After a little time he heard steps in the passage and the chain beingunhooked.  The door opened quietly, and he went in without saying aword to the squat misshapen figure that flattened itself into theshadow as he passed.  At the end of the hall hung a tattered greencurtain that swayed and shook in the gusty wind which had followed himin from the street.  He dragged it aside and entered a long low roomwhich looked as if it had once been a third-rate dancing-saloon. Shrillflaring gas-jets, dulled and distorted in the fly-blown mirrors thatfaced them, were ranged round the walls.  Greasy reflectors of ribbedtin backed them, making quivering disks of light.  The floor wascovered with ochre-coloured sawdust, trampled here and there into mud,and stained with dark rings of spilled liquor.  Some Malays werecrouching by a little charcoal stove, playing with bone counters andshowing their white teeth as they chattered.  In one corner, with hishead buried in his arms, a sailor sprawled over a table, and by thetawdrily painted bar that ran across one complete side stood twohaggard women, mocking an old man who was brushing the sleeves of hiscoat with an expression of disgust.  ""He thinks he's got red ants onhim,"" laughed one of them, as Dorian passed by.  The man looked at herin terror and began to whimper.",The Picture of Dorian Gray by Oscar Wilde
Dorian!,The Picture of Dorian Gray by Oscar Wilde
"She made her brother talk of himself, his hopes, his prospects.  Hespoke slowly and with effort.  They passed words to each other asplayers at a game pass counters.  Sibyl felt oppressed.  She could notcommunicate her joy.  A faint smile curving that sullen mouth was allthe echo she could win.  After some time she became silent.  Suddenlyshe caught a glimpse of golden hair and laughing lips, and in an opencarriage with two ladies Dorian Gray drove past.",The Picture of Dorian Gray by Oscar Wilde
"What o'clock is it, Victor? asked Dorian Gray drowsily.",The Picture of Dorian Gray by Oscar Wilde
"Sibyl?  Oh, she was so shy and so gentle.  There is something of achild about her.  Her eyes opened wide in exquisite wonder when I toldher what I thought of her performance, and she seemed quite unconsciousof her power.  I think we were both rather nervous.  The old Jew stoodgrinning at the doorway of the dusty greenroom, making elaboratespeeches about us both, while we stood looking at each other likechildren.  He would insist on calling me 'My Lord,' so I had to assureSibyl that I was not anything of the kind.  She said quite simply tome, 'You look more like a prince.  I must call you Prince Charming.'",The Picture of Dorian Gray by Oscar Wilde
"     On swift sail flaming     From storm and south     He comes, pale vampire,     Mouth to my mouth.—Good day, Stephen, the professor said, coming to peer over theirshoulders. Foot and mouth? Are you turned...?",Ulysses by James Joyce
"—My fault, Mr Bloom said, suffering his grip. Are you hurt? I’m in ahurry.",Ulysses by James Joyce
"  He said, and turn'd his brother's vengeful mind;  He stoop'd to reason, and his rage resign'd,  No longer bent to rush on certain harms;  His joyful friends unbrace his azure arms.",The Iliad by Homer
"  ""What, or from whence I am, or who my sire,  (Replied the chief,) can Tydeus' son inquire?  Like leaves on trees the race of man is found,  Now green in youth, now withering on the ground;  Another race the following spring supplies;  They fall successive, and successive rise:  So generations in their course decay;  So flourish these, when those are pass'd away.  But if thou still persist to search my birth,  Then hear a tale that fills the spacious earth.",The Iliad by Homer
"Sllt. The nethermost deck of the first machine jogged forward itsflyboard with sllt the first batch of quirefolded papers. Sllt. Almosthuman the way it sllt to call attention. Doing its level best to speak.That door too sllt creaking, asking to be shut. Everything speaks in itsown way. Sllt.",Ulysses by James Joyce
"The three-and-twentieth day still continues throughout this book. Thescene is sometimes in the fields before Troy, and sometimes in Troyitself.",The Iliad by Homer
"Then they passed by lonely brickfields.  The fog was lighter here, andhe could see the strange, bottle-shaped kilns with their orange,fanlike tongues of fire.  A dog barked as they went by, and far away inthe darkness some wandering sea-gull screamed.  The horse stumbled in arut, then swerved aside and broke into a gallop.",The Picture of Dorian Gray by Oscar Wilde
"This pure and noble simplicity is nowhere in such perfection as in theScripture and our author. One may affirm, with all respect to the inspiredwritings, that the Divine Spirit made use of no other words but what wereintelligible and common to men at that time, and in that part of theworld; and, as Homer is the author nearest to those, his style must ofcourse bear a greater resemblance to the sacred books than that of anyother writer. This consideration (together with what has been observed ofthe parity of some of his thoughts) may, methinks, induce a translator, onthe one hand, to give in to several of those general phrases and mannersof expression, which have attained a veneration even in our language frombeing used in the Old Testament; as, on the other, to avoid those whichhave been appropriated to the Divinity, and in a manner consigned tomystery and religion.",The Iliad by Homer
"—Yes, Evening Telegraph here, Mr Bloom phoned from the inner office.Is the boss...? Yes, Telegraph... To where? Aha! Which auction rooms?...Aha! I see... Right. I’ll catch him.",Ulysses by James Joyce
"Too strong!  Surely not, my dear fellow?  It is an admirable place forit.  Let me see it.  And Hallward walked towards the corner of theroom.",The Picture of Dorian Gray by Oscar Wilde
"—A recently discovered fragment of Cicero, professor MacHugh answeredwith pomp of tone. Our lovely land.",Ulysses by James Joyce
Three months’ renewal. Want to get some wind off my chest first.Try it anyhow. Rub in August: good idea: horseshow month. Ballsbridge.Tourists over for the show.,Ulysses by James Joyce
“The person of whom I speak is a gentleman%2c and a stranger.”,Pride and Prejudice by Jane Austen
When this information was given%2c and they had all taken their seats%2c Mr.Collins was at leisure to look around him and admire%2c and he was so muchstruck with the size and furniture of the apartment%2c that he declared hemight almost have supposed himself in the small summer breakfastparlour at Rosings; a comparison that did not at first convey muchgratification; but when Mrs. Phillips understood from him whatRosings was%2c and who was its proprietor--when she had listened to thedescription of only one of Lady Catherine's drawing-rooms%2c and foundthat the chimney-piece alone had cost eight hundred pounds%2c she felt allthe force of the compliment%2c and would hardly have resented a comparisonwith the housekeeper's room.,Pride and Prejudice by Jane Austen
"‘Anything you like,’ said the Footman, and began whistling.",Alice's Adventures in Wonderland by Lewis Carroll
"It did so indeed, and much sooner than she had expected: before she haddrunk half the bottle, she found her head pressing against the ceiling,and had to stoop to save her neck from being broken. She hastily putdown the bottle, saying to herself ‘That’s quite enough--I hope I shan’tgrow any more--As it is, I can’t get out at the door--I do wish I hadn’tdrunk quite so much!’",Alice's Adventures in Wonderland by Lewis Carroll
"We come now to the characters of his persons; and here we shall find noauthor has ever drawn so many, with so visible and surprising a variety,or given us such lively and affecting impressions of them. Every one hassomething so singularly his own, that no painter could have distinguishedthem more by their features, than the poet has by their manners. Nothingcan be more exact than the distinctions he has observed in the differentdegrees of virtues and vices. The single quality of courage is wonderfullydiversified in the several characters of the Iliad. That of Achilles isfurious and intractable; that of Diomede forward, yet listening to advice,and subject to command; that of Ajax is heavy and self-confiding; ofHector, active and vigilant: the courage of Agamemnon is inspirited bylove of empire and ambition; that of Menelaus mixed with softness andtenderness for his people: we find in Idomeneus a plain direct soldier; inSarpedon a gallant and generous one. Nor is this judicious and astonishingdiversity to be found only in the principal quality which constitutes themain of each character, but even in the under parts of it, to which hetakes care to give a tincture of that principal one. For example: the maincharacters of Ulysses and Nestor consist in wisdom; and they are distinctin this, that the wisdom of one is artificial and various, of the othernatural, open, and regular. But they have, besides, characters of courage;and this quality also takes a different turn in each from the differenceof his prudence; for one in the war depends still upon caution, the otherupon experience. It would be endless to produce instances of these kinds.The characters of Virgil are far from striking us in this open manner;they lie, in a great degree, hidden and undistinguished; and, where theyare marked most evidently affect us not in proportion to those of Homer.His characters of valour are much alike; even that of Turnus seems no waypeculiar, but, as it is, in a superior degree; and we see nothing thatdifferences the courage of Mnestheus from that of Sergestus, Cloanthus, orthe rest, In like manner it may be remarked of Statius's heroes, that anair of impetuosity runs through them all; the same horrid and savagecourage appears in his Capaneus, Tydeus, Hippomedon, &c. They have aparity of character, which makes them seem brothers of one family. Ibelieve when the reader is led into this tract of reflection, if he willpursue it through the epic and tragic writers, he will be convinced howinfinitely superior, in this point, the invention of Homer was to that ofall others.",The Iliad by Homer
"—One of the most polished periods I think I ever listened to in my life fell from the lips of Seymour Bushe. It was in that case offratricide, the Childs murder case. Bushe defended him.",Ulysses by James Joyce
“They are wanted in the farm much oftener than I can get them.”,Pride and Prejudice by Jane Austen
"At Phocoea, Homer was destined to experience another literary distress.One Thestorides, who aimed at the reputation of poetical genius, keptHomer in his own house, and allowed him a pittance, on condition of theverses of the poet passing in his name. Having collected sufficient poetryto be profitable, Thestorides, like some would-be-literary publishers,neglected the man whose brains he had sucked, and left him. At hisdeparture, Homer is said to have observed: ""O Thestorides, of the manythings hidden from the knowledge of man, nothing is more unintelligiblethan the human heart.""(8)",The Iliad by Homer
"‘Ah! then yours wasn’t a really good school,’ said the Mock Turtle ina tone of great relief. ‘Now at OURS they had at the end of the bill,“French, music, AND WASHING--extra.”’",Alice's Adventures in Wonderland by Lewis Carroll
"ITALIA, MAGISTRA ARTIUM",Ulysses by James Joyce
"‘It wasn’t very civil of you to sit down without being invited,’ saidthe March Hare.",Alice's Adventures in Wonderland by Lewis Carroll
"—Throw him out and shut the door, the editor said. There’s ahurricane blowing.",Ulysses by James Joyce
“What sort of girl is Miss Darcy?”,Pride and Prejudice by Jane Austen
"She lingered for a few moments, and was garrulous over some detail ofthe household.  He sighed and told her to manage things as she thoughtbest.  She left the room, wreathed in smiles.",The Picture of Dorian Gray by Oscar Wilde
"The editor came from the inner office, a straw hat awry on his brow. Hedeclaimed in song, pointing sternly at professor MacHugh:",Ulysses by James Joyce
